ENSG00000251562,ENSG00000167996,ENSG00000087086,ENSG00000198804,target_type
4.603229,6.0808334,5.1585417,4.9189467,alternatively activated macrophage
4.743755,6.298088,5.139795,4.704105,classical monocyte
3.743219,5.145793,3.3398273,4.637246,myeloid cell
4.073917,6.7491755,4.332348,5.0378284,alternatively activated macrophage
6.0811667,5.611448,5.5670304,5.277593,macrophage
3.9262946,6.7637043,3.7581344,5.1032043,myeloid dendritic cell
4.4018517,5.7994685,2.6695614,4.927421,myeloid cell
4.9497647,5.6675944,5.0266237,4.8156147,non-classical monocyte
5.011253,5.773761,5.8806386,4.984765,inflammatory macrophage
3.531345,6.1612735,4.251692,4.5044045,conventional dendritic cell
5.179578,6.2869062,5.427551,5.2692432,alternatively activated macrophage
5.3033047,4.9605107,5.4567447,4.6944013,classical monocyte
4.4473343,5.5481205,4.5604777,5.134609,classical monocyte
4.7906885,6.2125216,3.9672284,4.665763,conventional dendritic cell
4.77657,5.5984983,5.088412,4.491692,inflammatory macrophage
4.104323,6.0966763,4.543686,4.976156,classical monocyte
4.5384426,6.221724,3.1837146,4.0964417,conventional dendritic cell
4.468588,5.9557614,5.155987,4.821818,alternatively activated macrophage
4.9606133,6.1395082,5.1496253,5.042298,classical monocyte
4.3948445,5.859284,4.588759,4.473937,inflammatory macrophage
4.771086,5.3497353,4.431601,4.670211,classical monocyte
4.962689,6.331433,5.898207,4.6276245,macrophage
4.2326403,7.7448134,3.1626427,4.720985,myeloid dendritic cell
4.4957347,6.380386,4.6399326,4.6565785,inflammatory macrophage
4.4822774,6.015346,4.240291,5.1697545,conventional dendritic cell
4.7171073,6.1172466,3.2195258,4.841218,conventional dendritic cell
4.9093304,5.6834736,5.312333,5.015554,classical monocyte
4.803566,4.7043457,6.4972506,4.963277,alternatively activated macrophage
5.5433164,5.97378,6.6428213,5.127142,macrophage
5.140751,5.6532917,5.109845,4.926638,classical monocyte
5.620601,5.5856395,4.4585476,4.4945016,classical monocyte
5.4356484,6.2068906,4.6430297,4.5837255,macrophage
5.8891473,5.2339754,5.646289,4.8857284,macrophage
5.5058737,5.623205,6.0382733,5.1488476,macrophage
5.3122196,4.52071,5.9307065,5.2569313,macrophage
5.4918838,6.4644456,4.7567186,4.566644,classical monocyte
4.1755238,5.817916,4.4182982,4.6281657,conventional dendritic cell
4.0760965,6.1611505,3.4772522,4.696753,classical monocyte
4.675444,5.256564,4.999527,4.740807,classical monocyte
4.880582,5.703833,5.0080476,4.5632753,classical monocyte
5.0431166,6.0328484,4.691314,5.4008207,classical monocyte
5.0913615,5.9822364,5.0444064,4.5589204,alternatively activated macrophage
4.668311,5.8079658,4.9536433,5.1243787,classical monocyte
4.744823,6.0889773,5.1566334,4.687631,inflammatory macrophage
5.4420934,5.8410654,5.76757,4.8800654,non-classical monocyte
4.9382253,6.1721854,4.1536336,4.8388963,classical monocyte
3.8421202,6.3071704,5.2345495,5.0399566,alternatively activated macrophage
4.611168,6.325736,4.944796,5.0635386,classical monocyte
5.19578,5.534687,4.153537,4.852116,classical monocyte
4.81141,6.097646,4.9003243,4.4404078,classical monocyte
4.585859,6.1207156,3.9576378,4.630362,conventional dendritic cell
5.028078,5.9241242,5.4752283,4.8032146,non-classical monocyte
4.578837,5.648186,4.9808736,4.888453,classical monocyte
4.9569855,5.9769707,4.8445005,4.371278,classical monocyte
5.0666203,5.9152102,4.136851,5.0078154,classical monocyte
5.148406,4.7863154,6.227617,4.7319775,inflammatory macrophage
4.4184456,5.795659,3.569885,4.532958,conventional dendritic cell
4.183741,6.4378834,3.548866,4.799183,conventional dendritic cell
4.7016745,5.7597165,4.525196,5.1241894,classical monocyte
5.0545583,5.611436,4.9955254,4.329057,classical monocyte
4.9359026,6.0982976,4.7256274,4.3844304,conventional dendritic cell
4.604181,5.3461127,4.872678,4.921904,inflammatory macrophage
2.5460336,6.7696123,3.0983582,5.204274,conventional dendritic cell
4.7483172,5.451448,2.6576407,4.719162,conventional dendritic cell
4.348337,6.4543023,3.6680357,4.5006394,conventional dendritic cell
4.230081,6.3165627,3.874614,4.436091,conventional dendritic cell
4.6090465,5.958646,3.9258113,4.931698,classical monocyte
4.417261,5.311615,4.794205,5.0288496,classical monocyte
4.1908045,5.263358,5.263358,5.1442156,alternatively activated macrophage
4.525557,5.7383966,5.2132754,4.724257,classical monocyte
4.6429515,6.3214736,3.6687171,5.073194,conventional dendritic cell
4.8318405,6.249804,3.7859142,4.856959,conventional dendritic cell
4.6381464,4.941758,4.695588,4.788797,classical monocyte
1.9436849,5.320426,4.572141,4.4400854,inflammatory macrophage
3.8861833,5.9563694,4.9225755,4.307994,alternatively activated macrophage
4.363547,5.9705896,2.9633949,4.738321,conventional dendritic cell
3.6561093,5.756222,2.6719403,4.9681516,conventional dendritic cell
4.652269,6.008449,3.2645795,5.131781,conventional dendritic cell
4.248955,5.2834644,3.1394124,4.342966,conventional dendritic cell
4.812346,6.177053,5.4381747,4.7813516,alternatively activated macrophage
3.9979465,6.1667714,5.035767,4.5084424,non-classical monocyte
4.7661476,5.3269987,5.4550295,5.0079274,classical monocyte
4.840478,5.6163464,5.0063157,5.0697527,classical monocyte
5.6429973,5.943456,6.139243,5.3633356,macrophage
